buy_date,sell_date,buy_price,sell_price,buy_percentile,sell_percentile,profit_loss,percentile_gain,position_size,exit_type
2018-01-02,2018-01-17,239.27403259277344,248.92442321777344,0.5,0.5,0.04033195963819545,0.0,0.23527872562408447,stop_loss
2018-01-17,2018-02-05,248.92442321777344,234.9651641845703,0.5,0.0,-0.05607830221219699,-0.5,0.12035956978797913,stop_loss
2018-02-07,2018-02-08,238.29470825195312,229.3565673828125,0.1651208070908,0.0,-0.0375087677553048,-0.1651208070908,0.25,stop_loss
2018-02-12,2018-02-23,236.22047424316406,244.56211853027344,0.2663227656697366,0.5899824280128735,0.035312960546013177,0.32365966234313687,0.25,stop_loss
2018-03-26,2018-04-02,236.96096801757812,230.13217163085938,0.358239389891703,0.0,-0.028818232993596562,-0.358239389891703,0.25,stop_loss
2018-04-04,2018-05-11,235.5755157470703,243.87913513183594,0.30018293627018694,1.0,0.03524822755214064,0.6998170637298131,0.25,stop_loss
2018-06-29,2018-07-18,243.5646514892578,252.34542846679688,0.23188207524053775,1.0,0.03605111383712562,0.7681179247594623,0.25,stop_loss
2018-10-15,2018-10-24,247.4811553955078,239.29188537597656,0.11101799413110347,0.0,-0.033090479177874,-0.11101799413110347,0.25,stop_loss
2018-10-31,2018-11-07,244.0809326171875,253.4426727294922,0.2646603820631516,1.0,0.03835506531346914,0.7353396179368483,0.25,stop_loss
2018-11-15,2018-11-20,246.2364959716797,238.20962524414062,0.534111222037637,0.015163502630010931,-0.0325982169940489,-0.518947719407626,0.25,stop_loss
2018-11-26,2018-12-03,241.25804138183594,251.90045166015625,0.23930207214004284,0.9037176966399171,0.04411214738113831,0.6644156244998742,0.25,stop_loss
2018-12-11,2018-12-17,238.21865844726562,230.3089599609375,0.05482968171061439,0.0,-0.03320352208296518,-0.05482968171061439,0.25,stop_loss
2018-12-26,2019-01-08,223.3260955810547,232.93299865722656,0.2731977028276861,0.75831482813624,0.04301737802372099,0.4851171253085539,0.25,stop_loss
2019-03-27,2019-04-12,254.80638122558594,264.3826904296875,0.5572507607989666,1.0,0.03758268987629253,0.4427492392010334,0.25,stop_loss
2019-05-10,2019-05-13,262.5057067871094,255.9088897705078,0.195387307141721,0.0,-0.02513018515803751,-0.195387307141721,0.25,stop_loss
2019-05-15,2019-05-31,259.7357177734375,250.81553649902344,0.3189027390832762,0.0,-0.03434329845306438,-0.3189027390832762,0.25,stop_loss
2019-06-04,2019-06-18,255.60812377929688,266.4236755371094,0.4404967750958931,1.0,0.04231302040756387,0.559503224904107,0.25,stop_loss
2019-08-07,2019-09-06,263.66339111328125,272.8925476074219,0.22814710301608826,1.0,0.035003556827407176,0.7718528969839118,0.25,stop_loss
2019-10-04,2019-11-01,270.74945068359375,281.59417724609375,0.5310234720743936,1.0,0.04005447300121574,0.4689765279256064,0.25,stop_loss
2019-12-05,2019-12-26,287.0026550292969,298.507568359375,0.526017025028519,1.0,0.04008643518961076,0.473982974971481,0.25,stop_loss
2020-01-29,2020-02-19,301.9092102050781,312.7425231933594,0.471755220637798,1.0,0.03588268466842232,0.528244779362202,0.25,stop_loss
2020-03-02,2020-03-03,285.7054748535156,277.5249938964844,0.30489683098232406,0.0945825183455611,-0.02863256632105308,-0.21031431263676298,0.25,stop_loss
2020-03-03,2020-03-04,277.5249938964844,289.1902160644531,0.0945825183455611,0.39448703433893606,0.04203305080449737,0.299904515993375,0.25,stop_loss
2020-03-04,2020-03-05,289.1902160644531,279.5770263671875,0.39448703433893606,0.14733880502981817,-0.03324175287839991,-0.2471482293091179,0.25,stop_loss
2020-03-05,2020-03-09,279.5770263671875,253.48284912109375,0.14733880502981817,0.0,-0.09333448311243749,-0.14733880502981817,0.25,stop_loss
2020-03-24,2020-03-26,226.0758056640625,242.8583221435547,0.22933402793149116,0.43425893009525385,0.07423402265534854,0.2049249021637627,0.25,stop_loss
2020-03-26,2020-03-27,242.8583221435547,235.62466430664062,0.43425893009525385,0.34593149562932307,-0.02978550528170994,-0.08832743446593078,0.25,stop_loss
2020-03-27,2020-04-01,235.62466430664062,228.86512756347656,0.34593149562932307,0.298423177617127,-0.028687729966873243,-0.04750831801219607,0.1810910403728485,stop_loss
2020-04-03,2020-04-06,230.76190185546875,246.26133728027344,0.3957105079125429,0.6570616480051789,0.06716635328526771,0.26135114009263594,0.08124047517776489,stop_loss
2020-05-06,2020-05-18,264.2897033691406,274.28485107421875,0.555773974965664,1.0,0.03781890697087669,0.44422602503433595,0.08825227618217468,stop_loss
2020-06-15,2020-07-06,285.4886474609375,296.0837097167969,0.4828689019071221,0.7895180378031788,0.037112026520455824,0.30664913589605663,0.25,stop_loss
2020-09-14,2020-09-21,316.0779724121094,306.57000732421875,0.21437483070263577,0.0,-0.030081074664367727,-0.21437483070263577,0.25,stop_loss
2020-09-25,2020-10-07,308.22021484375,319.4996643066406,0.18106766896920126,1.0,0.036595424049680386,0.8189323310307988,0.25,stop_loss
2020-11-02,2020-11-04,309.5985412597656,322.106201171875,0.14136864165465013,0.6566251503901658,0.04039960867133074,0.5152565087355157,0.25,stop_loss
2021-03-02,2021-03-04,363.96826171875,354.7029724121094,0.503258141394627,0.0,-0.025456311115940686,-0.503258141394627,0.25,stop_loss
2021-03-05,2021-03-17,361.22821044921875,374.0622863769531,0.43475140244683513,1.0,0.03552899678509074,0.5652485975531649,0.25,stop_loss
2021-05-17,2021-07-01,392.5374450683594,407.95306396484375,0.6050229281532977,1.0,0.039271715578114555,0.3949770718467023,0.25,stop_loss
2021-08-20,2021-09-30,420.2078857421875,408.0334777832031,0.6151403640058494,0.0,-0.028972345289240496,-0.6151403640058494,0.23847704552939888,stop_loss
2021-10-06,2021-10-19,413.51019287109375,428.47607421875,0.33110658026751594,1.0,0.036192291280040256,0.6688934197324841,0.2422680531435185,stop_loss
2021-12-02,2021-12-27,434.903564453125,455.3810729980469,0.35881168883191794,1.0,0.047085170641614715,0.6411883111680821,0.23043259049429543,stop_loss
2022-01-11,2022-01-18,448.21533203125,435.5632019042969,0.6498018064668644,0.06642895637772296,-0.028227794148886917,-0.5833728500891414,0.16147220134735107,stop_loss
2022-01-28,2022-02-09,421.68975830078125,436.5650634765625,0.23047142241634444,0.6611358346298105,0.035275471796426816,0.4306644122134661,0.23771425938267587,stop_loss
2022-02-15,2022-02-18,425.6495056152344,414.3236389160156,0.5650189531443248,0.11368724697217895,-0.026608433816570107,-0.45133170617214585,0.23558447954048883,stop_loss
2022-02-25,2022-03-07,417.6823425292969,400.2021179199219,0.4439455798207862,0.0,-0.04185052330324189,-0.4439455798207862,0.24001287917019062,stop_loss
2022-03-09,2022-03-18,407.8163146972656,425.4595642089844,0.27028364805889543,1.0,0.04326273588347211,0.7297163519411045,0.24571502977905574,stop_loss
2022-04-13,2022-04-22,424.30145263671875,407.77203369140625,0.2158198332561117,0.0,-0.03895678141706663,-0.2158198332561117,0.23626913166998992,stop_loss
2022-04-28,2022-04-29,409.46612548828125,394.333984375,0.28771522177498327,0.0,-0.03695578259431457,-0.28771522177498327,0.24473255746575398,stop_loss
2022-05-03,2022-05-09,398.5262451171875,381.0970458984375,0.11222313264389995,0.0,-0.04373413152156367,-0.11222313264389995,0.25,stop_loss
2022-05-13,2022-05-19,384.494873046875,372.760498046875,0.17798909262075985,0.0,-0.030518937501071503,-0.17798909262075985,0.25,stop_loss
2022-05-23,2022-05-27,379.9006042480469,397.4541931152344,0.18838332234275623,0.6515141633513772,0.04620574084616699,0.463130841008621,0.25,stop_loss
2022-05-31,2022-06-09,395.22412109375,384.226806640625,0.5926763303228009,0.4289284209829343,-0.02782551435041678,-0.16374790933986655,0.25,stop_loss
2022-06-15,2022-06-16,362.9404602050781,350.9285583496094,0.12247393435068309,0.0,-0.03309606718601026,-0.12247393435068309,0.25,stop_loss
2022-06-21,2022-06-24,360.5382385253906,374.9666748046875,0.19787502246508956,0.49497410387857416,0.04001915674273414,0.2970990814134846,0.25,stop_loss
2022-06-24,2022-06-30,374.9666748046875,362.6337890625,0.49497410387857416,0.24102496107098464,-0.03289061820923539,-0.2539491428075895,0.25,stop_loss
2022-07-01,2022-07-20,366.46917724609375,379.4749755859375,0.3307560555959338,1.0,0.0354894740059135,0.6692439444040662,0.25,stop_loss
2022-08-24,2022-08-29,397.6427307128906,387.0304870605469,0.32162760577610344,0.0,-0.026687885462707207,-0.32162760577610344,0.25,stop_loss
2022-09-07,2022-09-16,382.3683776855469,372.1442565917969,0.1802796461619991,0.0,-0.026738929499442395,-0.1802796461619991,0.25,stop_loss
2022-09-19,2022-09-21,375.03021240234375,364.258544921875,0.0927597615654209,0.0,-0.02872213257558188,-0.0927597615654209,0.25,stop_loss
2022-09-28,2022-09-30,357.6372375488281,344.7518005371094,0.1557437565169002,0.0,-0.03602934946045573,-0.1557437565169002,0.25,stop_loss
2022-10-03,2022-10-12,353.8536682128906,344.1533203125,0.1809676078600315,0.0,-0.02741344451615112,-0.1809676078600315,0.25,stop_loss
2022-10-13,2022-10-24,353.23590087890625,365.6870422363281,0.2941546234633426,1.0,0.03524879924843847,0.7058453765366575,0.13344219326972961,stop_loss
2022-11-04,2022-11-10,363.2547302246094,380.9565734863281,0.6096738970563168,1.0,0.048731211981116566,0.3903261029436832,0.25,stop_loss
2022-12-08,2022-12-16,382.45263671875,371.6326599121094,0.21212015634696832,0.0,-0.02829102421536572,-0.21212015634696832,0.25,stop_loss
